symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category
SCB,CIMENTS DE BIZERTE,2024-04-17,0.54,15,0.08,-1.0074965293424936,3.776136473763569,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2024-04-19,0.58,69,0.0740740740740739,-0.3194946827828045,3.102166808040179,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2024-08-28,0.53,2689,-0.208955223880597,1.2290909001186092,-6.446734071697638,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2025-01-29,0.41,554,0.1081081081081081,0.1161898782382884,3.352863654475978,False,True,False,EXPLAINED,L'endettement de la société Les Ciments de Bizerte dépasse les 150 millions de dinars en 2024,2025-02-04,6.0,other_news
SCB,CIMENTS DE BIZERTE,2025-05-20,0.48,7111,-0.1724137931034483,1.2027526452869592,-4.743250118532735,False,True,False,EXPLAINED,Perte historique de 45 millions de dinars pour Les Ciments de Bizerte en 2024,2025-05-14,-6.0,other_news
SCB,CIMENTS DE BIZERTE,2025-07-09,0.45,11538,-0.2105263157894735,1.3180391262933782,-4.87603082931436,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2026-03-23,0.53,21184,0.1041666666666667,1.6029491168177987,3.008006242405697,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2026-03-26,0.59,34108,0.1132075471698113,1.784696959749852,3.003952847582391,False,True,False,UNEXPLAINED,,,,
SCB,CIMENTS DE BIZERTE,2026-04-16,0.73,50580,-0.1704545454545455,1.7650999319380336,-4.5475469303241605,False,True,False,UNEXPLAINED,,,,
SERVI,SERVICOM,2021-09-15,2.18,19163,0.1354166666666667,1.2101499676781764,8.731496608236228,False,True,False,UNEXPLAINED,,,,
SERVI,SERVICOM,2022-04-13,1.13,4222,-0.0813008130081301,-0.0059553014339083,-3.161199529826564,False,True,False,EXPLAINED,"Augmentation de capital, export… les axes stratégiques du business plan 2022-2026 de SERVICOM",2022-04-14,1.0,capital_increase
SERVI,SERVICOM,2022-04-15,1.23,2500,0.088495575221239,-0.3593737771268153,3.2289328741554524,False,True,False,EXPLAINED,"Augmentation de capital, export… les axes stratégiques du business plan 2022-2026 de SERVICOM",2022-04-14,-1.0,capital_increase
SERVI,SERVICOM,2022-06-09,1.04,11892,0.1555555555555556,0.7381543347979002,3.975832505841807,False,True,False,UNEXPLAINED,,,,
SERVI,SERVICOM,2022-10-05,0.37,105042,-0.159090909090909,1.790416016438082,-3.12658470618056,False,True,False,EXPLAINED,Nomination d'un séquestre judiciaire à la tête du groupe SERVICOM,2022-09-30,-5.0,governance
SERVI,SERVICOM,2023-08-25,0.23,11685,-0.2333333333333332,0.3679731672518939,-5.069928162544139,False,True,False,UNEXPLAINED,,,,
SFBT,SFBT,2022-05-11,15.43,69926,-0.0591463414634145,1.924999660654283,-5.7664372104166,False,True,False,EXPLAINED,"Coca-Cola rompt ses contrats avec deux filiales africaines du groupe Castel, propriétaire de SFBT",2022-05-11,0.0,other_news
SFBT,SFBT,2022-05-12,16.1,24340,0.0434219053791316,0.7938174070850577,4.52291613082443,False,True,False,EXPLAINED,"Coca-Cola rompt ses contrats avec deux filiales africaines du groupe Castel, propriétaire de SFBT",2022-05-11,-1.0,other_news
SFBT,SFBT,2022-09-23,15.74,105845,-0.008816120906801,3.5824254278474608,-0.9022526004191987,True,False,False,UNEXPLAINED,,,,
SFBT,SFBT,2022-11-22,13.4,197656,0.0014947683109118,3.690706510239204,0.43897469403424,True,False,False,UNEXPLAINED,,,,
SFBT,SFBT,2023-04-18,13.6,11789,0.0381679389312976,0.3275767572122973,4.10886108130734,False,True,False,EXPLAINED,La SFBT voit ses revenus reculer de 4% au premier trimestre à 147 millions de dinars,2023-04-19,1.0,earnings_results
SFBT,SFBT,2023-04-28,12.99,1256768,-0.0007692307692307,4.646412841291965,0.197607567977472,True,False,False,EXPLAINED,Des investisseurs étrangers achètent pour 35 millions de dinars d'actions SFBT,2023-05-02,4.0,other_news
SFBT,SFBT,2023-05-02,13.2,2485094,0.0161662817551961,4.476056578974914,1.8692445842036305,True,False,False,EXPLAINED,Des investisseurs étrangers achètent pour 35 millions de dinars d'actions SFBT,2023-05-02,0.0,other_news
SFBT,SFBT,2023-05-03,13.86,52550,0.05,1.1872566508280635,5.213445686311744,False,True,False,EXPLAINED,Des investisseurs étrangers achètent pour 35 millions de dinars d'actions SFBT,2023-05-02,-1.0,other_news
SFBT,SFBT,2023-05-25,14.8,60584,0.0496453900709221,1.428171110561714,4.287130845759529,False,True,False,UNEXPLAINED,,,,
